Ref,Item,Value / Part,Qty,Footprint / Package,Role,Notes
J1,USB-C receptacle,USB-C power sink connector,1,"USB-C 16-pin SMD, power-only pins used",Power input,Expose at board edge; connect shell to chassis/GND through chosen EMC strategy.
U1,3.3 V LDO regulator,AP2112K-3.3 or equivalent >=600 mA LDO,1,SOT-23-5 or selected regulator footprint,Power regulation,Verify pinout against selected manufacturer before PCB release.
U2,ESP32-WROOM-32,ESP32-WROOM-32 module,1,Espressif module land pattern,MCU and wireless,Respect antenna keepout exactly from module datasheet.
"R1, R2",USB-C CC pull-downs,"5.1 kOhm, 1%, 0603",2,0603,USB-C sink detection,One resistor from CC1 to GND and one from CC2 to GND.
"R3, R4",I2C pullups,"4.7 kOhm, 1%, 0603",2,0603,I2C bus bias,Pull SDA and SCL to 3V3 near the ESP32 or bus center.
R5,LED current limit,"330 Ohm, 0603",1,0603,Status LED,Adjust value for selected LED brightness target.
R6,EN pull-up,"10 kOhm, 0603",1,0603,ESP32 reset,Pull ESP32 EN to 3V3.
D1,Status LED,"Green LED, 0603",1,0603 LED,Visual status,Place visible from enclosure or board top.
SW1,Reset pushbutton,Momentary tactile switch,1,SMD tactile switch,Manual reset,Connect between EN and GND.
C1,Regulator input capacitor,"10 uF, 10 V, X5R/X7R",1,0805 or regulator-recommended,VBUS decoupling,Place close to U1 VIN and GND.
C2,Regulator output capacitor,"10 uF, 6.3 V, X5R/X7R",1,0805 or regulator-recommended,3V3 decoupling,Place close to U1 VOUT and GND.
C3,Regulator bypass capacitor,"0.1 uF, 16 V, X7R",1,0603,High-frequency decoupling,Place close to U1.
"C4, C5",ESP32 rail capacitors,10 uF and 0.1 uF ceramic,2,0805/0603,MCU decoupling,Place near ESP32 3V3 pins.
TP1,5 V test point,SMD test pad,1,1.0-1.5 mm test pad,Bring-up measurement,Label VBUS_5V on silkscreen.
TP2,3.3 V test point,SMD test pad,1,1.0-1.5 mm test pad,Bring-up measurement,Label 3V3 on silkscreen.
TP3,GND test point,SMD test pad,1,1.0-1.5 mm test pad,Bring-up measurement,Label GND on silkscreen.
"TP4, TP5",I2C test points,SMD test pads for SDA/SCL,2,1.0 mm test pad,Firmware/debug probing,Place near ESP32 or sensor bus header area.
H1-H4,Mounting holes,M2.5 or M3 plated/non-plated holes,4,Mechanical holes,Mechanical mounting,Keep clear of antenna zone and USB connector shell.
U3,AHT20,AHT20 Temperature and humidity sensor,1,AHT20 LGA sensor package or verified breakout-compatible SMD footprint,Selected sensor,"I2C address 0x38; Place at board edge with vent opening; keep away from regulator, ESP32, USB connector heat, and status LED."
C6,AHT20 local decoupling,"0.1 uF, 16 V, X7R",1,0603,Sensor decoupling,Place within 2-5 mm of U3 supply and ground pins.
U4,BH1750,BH1750 Ambient light sensor,1,BH1750FVI WSOF-6 or selected module-compatible SMD footprint,Selected sensor,I2C address 0x23; Place near a board/window edge with a clear optical path; do not shadow with tall parts or enclosure ribs.
C7,BH1750 local decoupling,"0.1 uF, 16 V, X7R",1,0603,Sensor decoupling,Place within 2-5 mm of U4 supply and ground pins.
